text,label
"I am impressed with the performance.",0
"The product failed my expectations.",1
"The support was efficient and prompt.",0
"I hate the functionality of your software.",1
"Your support team was helpful and knowledgeable.",0
"The quality was disappointing, very disappointing.",1
"I had a delighted experience with your support.",0
"Frustrating service from start to finish.",1
"The support team resolved my issue quickly.",0
"I will never recommend your product again.",1
"Your customer service impressed me wonderfully.",0
"The item has been disappointing so far.",1
"I'm thrilled by how impressive the design was.",0
"The subscription failed terribly.",1
"Your representatives deserve exceptional recognition.",0
"I am upset with the reliability.",1
"The order exceeded my expectations.",0
"The assistance was slow and inefficient.",1
"I appreciate the quality of your product.",0
"Your agents was unprofessional and careless.",1
"The shipping was excellent, thank you!",0
"I had a frustrating experience with your help.",1
"Excellent care from start to finish.",0
"The technicians handled my issue poorly.",1
"I will definitely recommend your subscription to others.",0
"I am annoyed with the user experience.",1
"The device met my expectations.",0
"The response was inadequate and unsatisfactory.",1
"I love the interface of your website.",0
"Your team was rude and incompetent.",1
"The checkout process was efficient, thank you!",0
"I had a terrible experience with your assistance.",1
"Impressive support from start to finish.",0
"The help desk answered my issue slowly.",1
"I will definitely value your app to others.",0
"I am disappointed with the payment process.",1
"The solution exceeded my expectations.",0
"The communication was unprofessional and frustrating.",1
"I enjoy the performance of your product.",0
"Your representatives was dismissive and unhelpful.",1
"The functionality was amazing, thank you!",0
"I had a dissatisfied experience with your service.",1
"Wonderful response from start to finish.",0
"The delivery team delivered my issue carelessly.",1
"I will definitely praise your platform to others.",0
"I am frustrated with the installation.",1
"The tool surprised my expectations.",0
"The resolution was terrible and ineffective.",1
"I value the functionality of your system.",0
"Your staff was impatient and rude.",1
"The update was excellent, thank you!",0
"I had a displeased experience with your guidance.",1
"Exceptional assistance from start to finish.",0
"The technicians handled my issue unprofessionally.",1
"I will definitely appreciate your website to others.",0
"I am angry with the account management.",1
"The platform enhanced my expectations.",0
"The interaction was disappointing and frustrating.",1
"I praise the reliability of your order.",0
"Your team was negligent and unresponsive.",1
"The value for money was impressive, thank you!",0
"I had a frustrated experience with your resolution.",1
"Remarkable communication from start to finish.",0
"The customer service processed my issue rudely.",1
"I will definitely enjoy your item to others.",0
"I am furious with the design.",1
"The app met my expectations.",0
"The resolution was horrible and ineffective.",1
"I appreciate the quality of your subscription.",0
"Your representatives was inconsiderate and unhelpful.",1
"The reliability was excellent, thank you!",0
"I had a annoyed experience with your support.",1
"Wonderful care from start to finish.",0
"The agents solved my issue improperly.",1
"I will definitely love your solution to others.",0
"I am displeased with the return policy.",1
"The website exceeded my expectations.",0
"The support was careless and unprofessional.",1
"I enjoy the shipping of your package.",0
"Your technicians was incompetent and dismissive.",1
"The performance was perfect, thank you!",0
"I had a bothered experience with your care.",1
"Superb interaction from start to finish.",0
"The service team addressed my issue negligently.",1
"I will definitely value your product to others.",0
"I am outraged with the delivery.",1
"The system satisfied my expectations.",0
"The guidance was negligent and careless.",1
"I love the performance of your app.",0
"Your agents was disrespectful and unhelpful.",1
"The user experience was exceptional, thank you!",0
"I had a irritated experience with your communication.",1
"Brilliant assistance from start to finish.",0
"The delivery team delivered my issue improperly.",1
"I will definitely recommend your device to others.",0
"I am aggravated with the interface.",1
"The purchase impressed my expectations.",0
"The help was unprofessional and inadequate.",1
"I appreciate the design of your tool.",0
"Your staff was unresponsive and unprofessional.",1
"The functionality was remarkable, thank you!",0
"I had a outraged experience with your interaction.",1
"Excellent resolution from start to finish.",0
"The service team addressed my issue disappointingly.",1
"I will definitely praise your package to others.",0
"I am annoyed with the billing.",1
"The order satisfied my expectations.",0
"The resolution was insufficient and disappointing.",1
"I value the reliability of your website.",0
"Your service team was negligent and careless.",1
"The support was excellent, thank you!",0
"I had a unhappy experience with your response.",1
"Impressive guidance from start to finish.",0
"The help desk solved my issue terribly.",1
"I will definitely enjoy your platform to others.",0
"I am disappointed with the checkout process.",1
"The platform enhanced my expectations.",0
"The care was inefficient and disappointing.",1
"I praise the interface of your subscription.",0
"Your representatives was incompetent and rude.",1
"The account management was exceptional, thank you!",0
"I had a upset experience with your assistance.",1
"Remarkable response from start to finish.",0
"The staff processed my issue negligently.",1
"I will definitely appreciate your tool to others.",0
"I am frustrated with the shipping.",1
"The solution delighted my expectations.",0
"The support was awful and ineffective.",1
"I enjoy the performance of your system.",0
"Your technicians was unprofessional and dismissive.",1
"The user experience was perfect, thank you!",0
"I had a furious experience with your resolution.",1
"Excellent guidance from start to finish.",0
"The customer service handled my issue improperly.",1
